[	1.6600000000000001e+00	2.3187211003664734e+00	-7.4321404539799412e+00	7.4120924874907592e+00	]
[	1.6800000000000002e+00	2.1785430508155046e+00	-6.5700474129289788e+00	7.2475080570438095e+00	]
[	1.7000000000000000e+00	2.0554058442877738e+00	-5.7323130256955990e+00	7.6508046069032476e+00	]
[	1.7200000000000002e+00	1.9498713030570087e+00	-4.8133001473483867e+00	7.9245290998712905e+00	]
[	1.7399999999999998e+00	1.8634280670520169e+00	-3.8259701199411458e+00	8.0362865076767473e+00	]
[	1.7600000000000000e+00	1.7969273121278582e+00	-2.8210827848384188e+00	8.1825406229337361e+00	]
[	1.7800000000000002e+00	1.7509922765307979e+00	-1.7707804358990860e+00	8.1575584068447871e+00	]
[	1.7999999999999998e+00	1.7260980245812005e+00	-7.1790994930670504e-01	8.1563955061494511e+00	]
[	1.8200000000000001e+00	1.7223527330176207e+00	3.4348191908315590e-01	8.1223606784528020e+00	]
[	1.8399999999999999e+00	1.7399195734754966e+00	1.4127064975522303e+00	8.0397192350045188e+00	]
[	1.8599999999999999e+00	1.7788413181389446e+00	2.4781772036368936e+00	7.9490711369735596e+00	]
[	1.8800000000000001e+00	1.8391026711892631e+00	3.5454401074761464e+00	7.7880902877069165e+00	]
[	1.8999999999999999e+00	1.9208649751960774e+00	4.6263798044241833e+00	7.4423408232830717e+00	]
[	1.9199999999999999e+00	2.0240335282844337e+00	5.6833194430583882e+00	7.0406754330294579e+00	]
[	1.9399999999999999e+00	2.1482048956887345e+00	6.7229537280707801e+00	6.4423318255855984e+00	]
[	1.9600000000000000e+00	2.2927363977243629e+00	7.7146682257616197e+00	5.6768205307452666e+00	]
[	1.9800000000000000e+00	2.4566497221869321e+00	8.6556955376525444e+00	4.5945857979405860e+00	]
[	2.0000000000000000e+00	2.6385241406525628e+00	9.5049637224059875e+00	3.2339605670701710e+00	]
[	2.0200000000000000e+00	2.8357938766845279e+00	1.0189778088729874e+01	1.8034483409819644e+00	]
[	2.0400000000000000e+00	3.0452294145409051e+00	1.0717300084977028e+01	1.0543454728767926e-01	]
[	2.0600000000000001e+00	3.2629838847858657e+00	1.1019444472283253e+01	-1.5986725059803604e+00	]
[	2.0800000000000001e+00	3.4850058734999720e+00	1.1144352483700251e+01	-3.6008054224726869e+00	]
[	2.0999999999999996e+00	3.7062868540191718e+00	1.0948404733949618e+01	-5.0702271668356493e+00	]
[	2.1200000000000001e+00	3.9228954563447700e+00	1.0682357336478852e+01	-7.2256197596611855e+00	]
[	2.1400000000000001e+00	4.1325776633055842e+00	1.0262306697007284e+01	-9.4209534254195404e+00	]
[	2.1600000000000001e+00	4.3297594277413864e+00	9.4396725683732328e+00	-1.0084578634571713e+01	]
[	2.1800000000000002e+00	4.5040294012280384e+00	7.9783462206388567e+00	-7.6995900843448259e+00	]
[	2.1999999999999997e+00	4.6533503757997101e+00	6.9502393422078947e+00	-7.8564055310105116e+00	]
[	2.2199999999999998e+00	4.7817841950546720e+00	5.8932851065071983e+00	-7.9085700526288596e+00	]
[	2.2400000000000002e+00	4.8889794643019515e+00	4.8286007512488682e+00	-7.8753774307734821e+00	]
[	2.2599999999999998e+00	4.9749858877402593e+00	3.7753893261188005e+00	-7.8092582329442566e+00	]
[	2.2800000000000002e+00	5.0402216168009497e+00	2.7515706752731233e+00	-7.7911256282439130e+00	]
[	2.3000000000000003e+00	5.0851809449387986e+00	1.7471140423522911e+00	-7.7769124763958297e+00	]
[	2.3199999999999998e+00	5.1103352181767603e+00	7.6999915142063391e-01	-7.8379392298101056e+00	]
[	2.3399999999999999e+00	5.1162480419527059e+00	-1.7830543213343242e-01	-8.0205966299372786e+00	]
[	2.3599999999999999e+00	5.1031506295901812e+00	-1.1323392702535320e+00	-8.1802939732507891e+00	]
[	2.3799999999999999e+00	5.0711814993299864e+00	-2.0666602247823067e+00	-8.4957265900502836e+00	]
[	2.4000000000000004e+00	5.0201871243581087e+00	-3.0357528895901766e+00	-8.7059397750473106e+00	]
[	2.4199999999999999e+00	4.9497852570023309e+00	-4.0078167396769482e+00	-9.0046175036952008e+00	]
[	2.4399999999999999e+00	4.8597423949018328e+00	-4.9995467730543943e+00	-9.3035279184168385e+00	]
[	2.4600000000000000e+00	4.7493006930425299e+00	-6.0464509195068805e+00	-9.3858280740585656e+00	]
[	2.4800000000000000e+00	4.6177398822352007e+00	-7.1089798799789614e+00	-9.4056528747851242e+00	]
[	2.5000000000000000e+00	4.4643910657365309e+00	-8.2212834474694851e+00	-9.0741215724082309e+00	]
[	2.5200000000000000e+00	4.2885551539962217e+00	-9.3520370837357678e+00	-8.4048304803854421e+00	]
[	2.5400000000000000e+00	4.0901035438596169e+00	-1.0475537524000469e+01	-7.3260093676835076e+00	]
[	2.5600000000000001e+00	3.8696592120230831e+00	-1.1542727539011134e+01	-5.8436756770272948e+00	]
[	2.5800000000000001e+00	3.6286897038956005e+00	-1.2519092783409988e+01	-3.8574297517827887e+00	]
[	2.6000000000000001e+00	3.3696211566001368e+00	-1.3344661201186801e+01	-1.4134550688614334e+00	]
[	2.6200000000000001e+00	3.0966913883442033e+00	-1.3900041398501711e+01	1.0599177454063511e+00	]
[	2.6400000000000001e+00	2.8137665270736818e+00	-1.4343062656921386e+01	4.5194310813863003e+00	]
[	2.6600000000000001e+00	2.5242703292411424e+00	-1.4560777889127811e+01	8.3152808992699043e+00	]
[	2.6799999999999997e+00	2.2402522513522127e+00	-1.3804474840205065e+01	8.1908771200016925e+00	]
[	2.7000000000000002e+00	1.9723623275383360e+00	-1.2960273507014730e+01	8.5791307476873016e+00	]
[	2.7199999999999998e+00	1.7199453072797344e+00	-1.2269267947107149e+01	1.0385018119726206e+01	]
[	2.7400000000000002e+00	1.4849672222862058e+00	-1.1227262899562110e+01	1.0506322385497848e+01	]
[	2.7600000000000002e+00	1.2722420429976389e+00	-1.0052518450700783e+01	9.8060509730564718e+00	]
[	2.7799999999999998e+00	1.0841204604561154e+00	-8.7724704857950773e+00	8.2031506885013776e+00	]
[	2.7999999999999998e+00	9.1957488287127320e-01	-7.6978699602829934e+00	7.2430683416156807e+00	]
[	2.8199999999999998e+00	7.7492785252376128e-01	-6.7838732092388208e+00	6.6163326397992890e+00	]
[	2.8399999999999999e+00	6.4750025533265831e-01	-5.9760596431487247e+00	6.0067702338039801e+00	]
[	2.8600000000000003e+00	5.3513739100456537e-01	-5.2768188671967975e+00	5.4354684260638608e+00	]
[	2.8799999999999999e+00	4.3564889380610711e-01	-4.6876807027757623e+00	4.9360954007977282e+00	]
[	2.8999999999999999e+00	3.4689506283954569e-01	-4.2022928736257645e+00	4.5071798875256412e+00	]
[	2.9199999999999999e+00	2.6684529739425833e-01	-3.8162533783663624e+00	4.1589465266142973e+00	]
[	2.9399999999999999e+00	1.9357741477049001e-01	-3.5232194391416467e+00	3.8881653947396737e+00	]
[	2.9600000000000000e+00	1.2527510745938064e-01	-3.3190023091786585e+00	3.6978941025126959e+00	]
[	2.9800000000000000e+00	6.0215712641367949e-02	-3.1984557179120876e+00	3.5792479821702825e+00	]
[	3.0000000000000000e+00	0.0000000000000000e+00	-2.8338178923860160e+00	1.7765409214403025e+00	]
