time	radps
1,54119	8,48230
1,54455	8,36013
1,54778	8,23795
1,55086	8,42994
1,55392	8,55211
1,55698	8,60447
1,56006	8,44739
1,56317	8,56957
1,56638	8,55211
1,56980	8,44739
1,57283	8,60447
1,57603	8,55211
1,57941	8,49975
1,58245	8,90118
1,58540	8,76155
1,58843	8,55211
1,59151	8,70919
1,59464	8,86627
1,59770	8,76155
1,60077	8,55211
1,60381	8,62193
1,60690	8,88373
1,61009	8,77901
1,61362	8,86627
1,61670	8,62193
1,61972	8,81391
1,62278	8,86627
1,62592	8,86627
1,62915	8,63938
1,63239	8,74410
1,63536	8,93609
1,63873	8,88373
1,64200	8,88373
1,64551	8,90118
1,64858	8,93609
1,65159	8,90118
1,65466	8,90118
1,65789	8,86627
1,66098	8,97099
1,66443	9,44223
1,66741	9,16298
1,67079	8,93609
1,67395	9,19789
1,67740	9,09317
1,68061	9,19789
1,68363	9,05826
1,68669	9,12807
1,68982	9,21534
1,69289	9,32006
1,69618	9,19789
1,69929	9,26770
1,70263	9,47714
1,70596	9,28515
1,70930	9,19789
1,71248	9,33751
1,71552	9,38987
1,71854	9,51204
1,72169	9,47714
1,72482	9,25025
1,72792	9,52950
1,73126	9,38987
1,73441	9,44223
1,73784	9,35496
1,74128	9,40732
1,74432	9,47714
1,74736	9,47714
1,75041	9,73894
1,75356	9,63422
1,75659	9,72148
1,75995	9,51204
1,76336	9,51204
1,76649	9,77384
1,76953	9,63422
1,77297	9,51204
1,77607	9,91347
1,77910	9,96583
1,78211	9,73894
1,78528	9,65167
1,78844	9,47714
1,79152	9,86111
1,79458	9,89602
1,79799	9,51204
1,80108	9,96583
1,80453	9,91347
1,80777	9,72148
1,81080	9,70403
1,81381	9,91347
1,81692	9,96583
1,82012	9,98328
1,82319	9,77384
1,82641	10,08800
1,82957	10,10546
1,83265	9,86111
1,83623	9,93092
1,83926	10,08800
1,84231	10,27999
1,84538	10,15782
1,84850	9,93092
1,85181	10,10546
1,85502	10,03564
1,85807	9,96583
1,86137	10,01819
1,86486	10,27999
1,86792	10,05310
1,87094	9,98328
1,87408	10,17527
1,87706	10,17527
1,88025	10,17527
1,88362	10,01819
1,88670	10,22763
1,88990	10,36726
1,89291	10,15782
1,89600	10,22763
1,89937	10,41962
1,90255	10,17527
1,90576	10,24508
1,90873	10,27999
1,91189	10,61160
1,91519	10,48943
1,91839	10,10546
1,92160	10,55924
1,92468	10,43707
1,92775	10,31490
1,93070	10,47198
1,93378	10,62906
1,93684	10,66396
1,93988	10,43707
1,94280	10,43707
1,94595	10,66396
1,94939	10,34980
1,95236	10,31490
1,95579	10,57670
1,95889	10,73377
1,96211	10,43707
1,96544	10,62906
1,96858	10,80359
1,97160	10,73377
1,97470	10,54179
1,97781	10,50688
1,98080	11,06539
1,98400	10,68142
1,98701	10,76868
1,99014	11,04793
1,99318	10,76868
1,99657	10,87340
1,99959	10,57670
2,00266	10,99557
2,00573	10,89085
2,00891	10,75123
2,01219	11,13520
2,01523	10,82104
2,01840	10,94321
2,02174	10,89085
2,02498	11,06539
2,02816	11,11775
2,03112	10,82104
2,03421	11,20501
2,03730	10,94321
2,04039	10,82104
2,04375	11,06539
2,04679	11,08284
2,04991	11,20501
2,05295	11,18756
2,05638	11,37955
2,05970	11,30973
2,06283	11,11775
2,06604	11,23992
2,06902	11,50172
2,07216	11,18756
2,07514	11,53663
2,07842	11,57153
2,08185	11,34464
2,08486	11,27483
2,08815	11,25737
2,09117	11,51917
2,09443	11,13520
2,09758	11,51917
2,10047	11,53663
2,10353	11,43191
2,10660	11,37955
2,10954	11,46681
2,11263	11,78097
2,11620	11,43191
2,11966	11,62389
2,12303	11,69371
2,12627	11,53663
2,12938	11,71116
2,13240	11,83333
2,13571	11,69371
2,13876	11,58899
2,14184	11,78097
2,14528	11,76352
2,14827	11,58899
2,15166	11,90315
2,15488	11,76352
2,15820	11,53663
2,16131	11,83333
2,16430	11,81588
2,16743	11,81588
2,17045	11,65880
2,17353	12,04277
2,17660	11,57153
2,17961	11,83333
2,18292	11,95551
2,18599	11,58899
2,18913	11,90315
2,19215	11,88569
2,19512	12,16494
2,19809	11,69371
2,20111	12,11259
2,20417	12,02532
2,20722	11,76352
2,21029	12,02532
2,21341	12,11259
2,21645	12,14749
2,21950	11,76352
2,22240	12,19985
2,22549	11,90315
2,22863	11,78097
2,23192	12,04277
2,23511	12,19985
2,23810	12,00787
2,24118	12,21730
2,24464	12,16494
2,24805	12,11259
2,25110	12,00787
2,25412	12,46165
2,25725	12,19985
2,26034	12,49656
2,26387	12,33948
2,26701	12,37438
2,26999	12,11259
2,27311	12,56637
2,27635	12,42674
2,27990	12,37438
2,28297	12,53146
2,28600	12,09513
2,28911	12,42674
2,29226	12,40929
2,29531	12,54892
2,29832	12,21730
2,30143	12,88053
2,30445	12,33948
2,30754	12,37438
2,31058	12,49656
2,31372	12,54892
2,31679	12,53146
2,31988	12,81072
2,32287	12,68854
2,32605	12,46165
2,32907	12,67109
2,33251	12,88053
2,33550	12,46165
2,33890	13,07252
2,34217	12,61873
2,34546	12,74090
2,34851	12,49656
2,35156	13,03761
2,35465	12,28712
2,35780	13,26450
2,36202	12,60128
2,36512	12,74090
2,36859	12,74090
2,37208	13,24705
2,37537	12,60128
2,37855	13,26450
2,38156	12,74090
2,38462	13,17724
2,38777	13,03761
2,39081	13,12488
2,39379	12,93289
2,39715	13,33432
2,40042	13,00270
2,40397	12,93289
2,40751	13,19469
2,41056	12,91544
2,41371	13,17724
2,41682	13,07252
2,42012	13,07252
2,42323	12,98525
2,42639	13,49140
2,42945	12,86308
2,43324	13,49140
2,43667	12,74090
2,43964	13,33432
2,44275	13,45649
2,44593	13,43904
2,44907	13,24705
2,45227	13,61357
2,45549	12,95034
2,45862	13,43904
2,46160	13,42158
2,46465	13,26450
2,46803	13,29941
2,47107	13,49140
2,47411	13,00270
2,47731	13,50885
2,48039	13,52630
2,48370	13,29941
2,48683	13,56121
2,48992	13,45649
2,49314	13,29941
2,49654	13,68338
2,49978	13,63102
2,50292	13,56121
2,50599	13,63102
2,50903	13,45649
2,51222	13,38668
2,51572	13,91027
2,51891	13,50885
2,52213	14,03245
2,52534	13,29941
2,52860	13,77065
2,53210	13,43904
2,53515	14,20698
2,53813	13,36922
2,54122	14,25934
2,54434	13,24705
2,54775	14,17207
2,55101	13,82301
2,55403	14,06735
2,55707	14,22443
2,56055	14,13717
2,56383	13,61357
2,56701	14,15462
2,57001	13,75319
